date,state,number_of_iclaims,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-07,AL,1663,0.0,,,,,,,,,,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,01,,,,,,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-03-14,AL,1819,6.0,22.0,46.0,,,,,,,,2020-03-14T20:00:00Z,,,74.0,28.0,28.0,01,0.0,0.0,11.0,5.0,16.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-03-21,AL,10892,124.0,28.0,,,,,,,,,2020-03-21T20:00:00Z,0.0,,152.0,152.0,152.0,01,0.0,0.0,0.0,43.0,43.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-03-28,AL,80984,696.0,4184.0,,,,,,,,,2020-03-28T20:00:00Z,3.0,,4880.0,4880.0,4880.0,01,0.0,0.0,0.0,109.0,109.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-04-14,AL,,3876.0,29241.0,,,493.0,,210.0,,132.0,,2020-04-14T20:00:00Z,110.0,493.0,33117.0,33117.0,33117.0,01,11.0,36.0,3793.0,142.0,3935.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-04-13,AL,,3734.0,25448.0,,,457.0,,189.0,,119.0,,2020-04-13T20:00:00Z,99.0,457.0,29182.0,29182.0,29182.0,01,6.0,20.0,7390.0,209.0,7599.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-04-12,AL,,3525.0,18058.0,,,437.0,,189.0,,119.0,,2020-04-12T20:00:00Z,93.0,437.0,21583.0,21583.0,21583.0,01,2.0,35.0,0.0,334.0,334.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-04-11,AL,,3191.0,18058.0,,,402.0,,,,,,2020-04-11T20:00:00Z,91.0,402.0,21249.0,21249.0,21249.0,01,11.0,34.0,0.0,223.0,223.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-04-10,AL,,2968.0,18058.0,,,368.0,,,,,,2020-04-10T20:00:00Z,80.0,368.0,21026.0,21026.0,21026.0,01,6.0,35.0,0.0,199.0,199.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
2020-04-09,AL,,2769.0,18058.0,,,333.0,,,,,,2020-04-09T20:00:00Z,74.0,333.0,20827.0,20827.0,20827.0,01,8.0,19.0,1305.0,400.0,1705.0,AL,4903185.0,Alabama,Montgomery,32.377716,-86.300568,,2020-03-13
